time,qpos,qvel,torque
0.001003265380859375,"[0.011593712878904032, 0.00173296899675632, -0.026526986504831273, 0.014802048434973125, 2.785021457227025e-06, -0.021249355338832453, 0.0051581198456248905, 0.004439574396609159, 0.008899486080284607, -0.04525591169536251, 0.006635461359817775, 0.006848108649158854, -0.023431803211661505]","[0.2069497070325467, 0.029682892597093842, -0.4771127444416524, 0.26335932097014436, -0.00044593951731535506, -0.3837712665593901, 0.09161250750768372, 0.08043407502983912, 0.155527373015934, -0.805335580838105, 0.12021680128177957, 0.11931784171792999, -0.4226990435775228]","[-0.015367612383959462, -0.004700499723755235, 0.0040555150844915075, -0.10881834040868316, -0.008610908089460013, 0.00014510734915089798, 0.029143151608532095, -0.015367612385249675, -0.004700499726639333, 0.004055515086736331, -0.015367607071388754, -0.0047005000437115516, 0.004055515395696379]"
0.01119375228881836,"[0.01755880545469247, 0.003233168903450353, -0.023038976659754205, 0.026516349416138552, -7.81604043490778e-05, -0.017974932172088197, 0.005859579556381146, 0.008203371892939414, 0.013356531386834139, -0.03843453318280342, 0.008161419356470802, 0.01168633644312339, 0.07892147772858865]","[0.11103745278804007, 0.022258804933183704, -0.4182343952050519, 0.20974934096282022, -0.002353341375503746, -0.32363983418385683, 0.10778463336975001, 0.06717952379279829, 0.07855415472887985, -0.6970520096308408, 0.02629735876171765, 0.08387095277499167, -0.1595194631129816]","[-0.011107892628397195, -0.004934602643611995, 0.002836637374550097, -0.09459688600341393, -0.006147981129730592, 0.0014841207367488247, 0.01787504942420655, -0.01477590604394208, -0.004355278890525191, 0.004397633874021605, -0.004318455549251659, -0.006853544069399525, 0.0011999760880353717]"
0.012196540832519531,"[0.02337212281593927, 0.004815770401142276, -0.021888931985638807, 0.03721048003172553, -0.00044023746145992816, -0.01679211665858313, 0.007415068033968612, 0.010863608753420313, 0.01812825374781186, -0.032643393011336314, 0.009700517740477189, 0.015836351847386656, 0.16275733039444842]","[0.100219526174831, 0.03166051936907942, -0.38810586392731417, 0.19175886154517832, -0.00639414821019782, -0.3075640564096036, 0.13204231925799811, 0.0487081320629196, 0.08504871361740525, -0.5907189672235602, 0.027971254308921126, 0.07347448331630263, -0.20612226315792062]","[-0.01256684669114099, -0.003884243979948844, 0.003984953702972982, -0.08429276156427604, -0.004230679604943055, 0.002323312807295712, 0.008236770236571983, -0.011097074740766977, -0.005043450127254233, 0.003227450420398031, -0.002890076841597164, -0.006520517440622389, 0.0012910399117774078]"
0.012196540832519531,"[0.028890417562335187, 0.0062494963229062445, -0.021727105067154452, 0.047521851448102524, -0.0015679831631081828, -0.016934304756229562, 0.008110612310797485, 0.012250439336125163, 0.02340431797549695, -0.024030044952814113, 0.010751850885588492, 0.01960313146032711, 0.24797735394149958]","[0.0945655935617708, 0.028994220919299027, -0.38439118937239514, 0.1847447953083961, -0.01985771904185701, -0.30853723060842675, 0.14328661774836243, 0.02581695300979963, 0.0940987322075783, -0.43147149740924845, 0.01939309238550142, 0.06684175514871973, -0.2401978111511046]","[-0.011380547477419628, -0.003548358848205435, 0.003948586455767299, -0.07791618232832818, 3.734816881601775e-05, 0.004580453828892477, 0.002697971470952883, -0.0035915783197046566, -0.0069081822358759174, 0.0010480405334191442, -0.001696144824797509, -0.006218421370874276, 0.001343654959083422]"
0.013193607330322266,"[0.03546494533613015, 0.007617223213389114, -0.02126854097906656, 0.056989862766274685, -0.0024815716251669296, -0.011542163958195063, 0.007402780581368758, 0.01296073109695937, 0.02841348889559017, -0.018693778634300585, 0.00951726877043495, 0.021970550693793518, 0.3220544454507108]","[0.11829309801515725, 0.023852754085309694, -0.3815400951657649, 0.16932138279061146, -0.016131177691048777, -0.20742843419394344, 0.13239048943167703, 0.012859969555650295, 0.08931984243725687, -0.3350704860331458, -0.021161137625830606, 0.04208636239049221, -0.48789661520188055]","[-0.010232579366586551, -0.003215936116176924, 0.003915836099161777, -0.07247784607722868, -0.0012344368945212804, 0.0021671874847120614, 0.0017220175397365826, -0.0030452045896702216, -0.006838677060834257, 0.0010328174533858457, -0.00018207616522893243, -0.0034720626180244213, 0.0031688207856263033]"
0.013193607330322266,"[0.04130515359603149, 0.00905004869178756, -0.020209793636061086, 0.06612548019534377, -0.0033859329848114766, -0.01074816116483653, 0.007061419347600344, 0.013571774767812562, 0.03328781217195173, -0.017192868716167525, 0.007794399874773918, 0.0238643689988701, 0.40687970595122214]","[0.09961471881009146, 0.028387451185292074, -0.3524873529494638, 0.16318137596882326, -0.015625849512528864, -0.19812086587392097, 0.12450602464878213, 0.01198127968777938, 0.08687264516573888, -0.30738304032684977, -0.03022631239886722, 0.03374428044558339, -0.5200694623983241]","[-0.009008008104972286, -0.002888010153989672, 0.003887703859600615, -0.06805792694717042, -0.001598533654287359, 0.001586063545531131, 0.0005673331460719785, -0.0026311518667715148, -0.0067634659131540695, 0.0009889676989976628, 0.00041469858305552613, -0.0027957262363221343, 0.0040388997031174136]"
0.013193607330322266,"[0.046871511149180756, 0.010218531043183385, -0.020103285170899668, 0.07496896745611209, -0.004305241356127466, -0.009540594742877263, 0.006885500420056929, 0.014002971608440176, 0.03803784455542652, -0.015906900466939912, 0.005721828962030918, 0.025321601555617627, 0.49122903175143195]","[0.09450097483905877, 0.02363190871058555, -0.3496583866570668, 0.1579181112028047, -0.01586952847950677, -0.17693415573841131, 0.12132881394518374, 0.008823004728835663, 0.08465622927250699, -0.28436488843706254, -0.036547002294483114, 0.025968070043748303, -0.5725303375780246]","[-0.007861055390861467, -0.0025548122206194303, 0.0038564065901888567, -0.06377566726721043, -0.002001125887161238, 0.0009860778548080314, -0.0007374957654387808, -0.0022453273481560865, -0.006690394297102158, 0.0009380394097379607, 0.0009417831656222028, -0.0021481409911272877, 0.004858131712677876]"
0.014193296432495117,"[0.0511614893573722, 0.011677956490429556, -0.01828041872963409, 0.08352348447912797, -0.005132174134678609, -0.00916289654289731, 0.006368907005537893, 0.014398636039054018, 0.04266906471342029, -0.01460208436704157, 0.0033951893878535772, 0.026372622090664398, 0.5773098399855123]","[0.07681442445436952, 0.025888167594504644, -0.3262827695170679, 0.15277507080188996, -0.014733873205009011, -0.16636694493281293, 0.11398865355261362, 0.007509805083064823, 0.08255827705002072, -0.2618162638204599, -0.04116616224034074, 0.018798406944076473, -0.6005836615787182]","[-0.003981334582273292, -0.00304044283294131, 0.0027282063326559292, -0.06187775429747899, -0.0023207561789174956, 0.0007932117484782505, -0.00012755731894871419, -0.0018990909192108647, -0.00661974362135333, 0.0008805680032337125, 0.0014011511484884741, -0.0015217031990745135, 0.005640688015910645]"
0.014193296432495117,"[0.058749511686774544, 0.011705128868764245, -0.025773929606640524, 0.09431752561140694, -0.0065104770601723, -0.014871625492373582, 0.0072877369452132666, 0.014673709961588203, 0.04762031864998249, 0.06375578285798705, 0.008132214118337623, 0.02811365318506356, -0.02278043088490968]","[0.1359749024213018, 0.00010707355214709113, -0.46227753537952954, 0.19305074861799765, -0.02475880034460828, -0.2679462795557874, 0.13134681101385823, 0.005277814083845977, 0.08839359735687433, -0.4221845667619131, 0.08536451599024954, 0.030560403727861087, -0.4075840323068845]","[-0.012214636442033638, -0.0019293469338617837, 0.0037896901481735625, -0.07544164872881187, -0.0009418123892930936, 0.004351564159137179, 0.0123690424247387, -0.0006457822078058995, -0.006620400073133973, 0.0005898161841217626, -0.015072833307761623, -0.0023849541124798057, 0.004780328127400221]"
0.014193296432495117,"[0.06426485973848371, 0.012488292131138948, -0.017278149307105122, 0.1013061526178496, -0.007366087214522752, -0.014978930950469337, 0.005524675659115659, 0.015644733127641246, 0.05169776589110243, 0.06954155726828115, 0.01157635411461267, 0.029707707913761768, 0.06772439517240444]","[0.10678768583087352, 0.010838771177965655, -0.3218994178601657, 0.12635912708347957, -0.016253101262057368, -0.26396732634740616, 0.09915121080973692, 0.016461215602397807, 0.07279720210176187, -0.32158521635107484, 0.06654162933590431, 0.025696283087584655, -0.37558347910186796]","[-0.008059500496847262, -0.002491588451024704, 0.002707268952871884, -0.04329864630175567, -0.0011924207367556292, 0.004649636866658098, 0.008412346781385954, -0.00026416670865767023, -0.006601707218011745, 0.0005593166940790921, -0.009290606168691361, -0.0035999146964152597, 0.004297130735274182]"
